,PTT.BK,ADVANC.BK,CPALL.BK,SCC.BK,BDMS.BK,KBANK.BK,AOT.BK,CPF.BK,GULF.BK,MINT.BK
Timestamp,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close
8/28/2012,33.4,213,34,327,10.45,173,6.6,32,,13.7272741
8/29/2012,33.3,208,33.75,326,10.25,167.5,6.775,31.75,,13.636365
8/30/2012,32.9,212,33.75,330,10.35,165.5,6.675,31.5,,13.4545468
8/31/2012,33,217,34.5,332,10.35,169,6.725,31.75,,13.3636377
9/3/2012,33.7,218,34.25,331,10.4,172.5,7.025,31.75,,13.7272741
9/4/2012,33.6,215,34.25,334,10.7,170.5,6.85,31.5,,13.7272741
9/5/2012,33.1,214,34,332,10.8,172.5,6.8,31.5,,14.0000014
9/6/2012,32.9,217,34.25,330,11.1,177,6.9,31.75,,14.2727287
9/7/2012,33,214,34.75,331,10.85,175,6.9,33,,14.1818196
9/10/2012,32.9,215,35.25,331,10.6,175,6.95,33.25,,14.3636378
9/11/2012,32.7,215,35.25,327,10.7,173,7.025,33.25,,14.4545469
9/12/2012,32.9,217,35.25,328,10.75,177.5,7.4,33,,14.7272742
9/13/2012,32.8,214,34.75,327,10.75,179,7.475,32.75,,14.2727287
9/14/2012,33.6,214,35,343,10.6,185,7.4,33.5,,14.0000014
9/17/2012,34.2,210,34,348,10.45,184,7.225,33.25,,13.9090923
9/18/2012,33.8,210,34,351,10.55,181,7.275,33,,13.9090923
9/19/2012,34,212,34,358,10.6,183,7.5,32.75,,14.0909105
9/20/2012,33.7,213,34,358,10.7,183.5,7.525,32.5,,14.1818196
9/21/2012,33.7,216,34,356,10.7,184,7.45,32.5,,14.2727287
9/24/2012,33.4,214,33.75,352,10.6,186.5,7.6,32.25,,14.0909105
9/25/2012,33.2,214,34,352,10.65,185.5,7.75,32.75,,14.1818196
9/26/2012,32.8,212,34,349,10.6,182,7.7,32.5,,14.0000014
9/27/2012,32.9,213,34.5,351,10.75,180,7.925,32.75,,14.0909105
9/28/2012,32.9,214,35.5,349,10.75,182.5,7.95,33.5,,14.0000014
10/1/2012,32.9,214,36,349,10.75,184.5,8.05,33.5,,14.0909105
10/2/2012,32.7,212,36.25,350,10.8,185,8.275,33.75,,14.545456
10/3/2012,32.5,209,37.5,349,10.75,184,8.375,35,,15.1818197
10/4/2012,32.1,206,38.5,351,10.75,185,8.525,35.75,,15.3636379
10/5/2012,32.2,209,38,356,10.85,184,8.6,34.75,,15.5454561
10/8/2012,31.8,206,38.25,358,11.15,180,8.7,34.5,,15.1818197
10/9/2012,31.5,208,38,353,10.95,177.5,8.425,33.5,,15.0909106
10/10/2012,31.4,205,37.5,353,10.45,178.5,8.4,34.5,,15.1818197
10/11/2012,31.5,204,38.75,360,10.45,179,8.45,33.5,,15.3636379
10/12/2012,31.5,202,39.25,357,10.5,180,8.4,34.5,,16.363638
10/15/2012,31.3,202,39.5,349,10.5,176.5,8.2,34.5,,16.5454562
10/16/2012,31.1,195,39.75,355,10.8,176,8.3,34.5,,16.1818198
10/17/2012,31.4,204,39.5,359,10.65,176,8.325,34,,16.5454562
10/18/2012,31.7,214,39.5,356,10.8,174.5,8.575,35,,16.363638
10/19/2012,32,213,38.75,360,10.7,174,8.55,35.5,,16.8181835
10/22/2012,31.9,212,39.5,366,10.9,174,8.6,35.25,,16.9090926
10/24/2012,31.4,203,40,365,10.8,173.5,8.575,35,,16.5454562
10/25/2012,31.3,203,40.25,368,10.8,175,8.45,35.75,,16.4545471
10/26/2012,31.3,198,40,363,10.7,175,8.3,35,,15.9090925
10/29/2012,31.6,197,39.25,364,10.6,174.5,7.9,35.25,,15.9090925
10/30/2012,31.7,200,39.75,369,10.75,177,8.225,35.5,,16.1818198
10/31/2012,31.8,197.5,39.75,374,10.65,179,8.2,35.25,,16.6363653
11/1/2012,31.8,192,40,389,10.7,178.5,8.225,35,,16.4545471
11/2/2012,31.9,186,40.75,402,10.7,179,8.275,35.75,,16.8181835
11/5/2012,32.2,189.5,40.75,390,10.7,177.5,8.25,35.5,,17.0000017
11/6/2012,31.9,193,40.25,390,10.65,176.5,8.175,36,,17.3636381
11/7/2012,31.9,188,39.75,387,10.65,178,8.2,36.5,,17.5454563
11/8/2012,31.7,187,39.75,384,10.55,178,8.425,36.5,,18.0000018
11/9/2012,31.6,187.5,40.25,387,10.6,179.5,8.475,36,,18.0000018
11/12/2012,31.7,189,40.75,386,10.65,182.5,8.5,36,,17.5454563
11/13/2012,31.9,192,40.25,384,10.5,179.5,8.35,33.75,,17.6363654
11/14/2012,31.6,189,40.5,375,10.55,177,8.45,33,,17.6363654
11/15/2012,31.4,195,40.25,382,10.65,176,8.5,33.25,,17.272729
11/16/2012,31.4,197,40.5,390,10.85,178,8.625,33.5,,17.272729
11/19/2012,31.2,198,40.75,392,10.85,177.5,8.725,33.25,,17.3636381
11/20/2012,31,191.5,40.75,392,10.85,179,8.6,33,,17.8181836
11/21/2012,31,196,40,390,10.8,179,8.575,33,,18.4545473
11/22/2012,30.9,198,39,394,10.8,181,8.7,33,,18.18182
11/23/2012,31.2,198.5,40,390,10.7,182,9.025,32.75,,18.0909109
11/26/2012,31.2,197,40.75,387,10.75,181,9.05,33,,18.4545473
11/27/2012,31.4,203,40.5,388,10.8,181.5,9.025,33,,18.0909109
11/28/2012,31.6,207,40.75,388,10.8,179.5,9.05,33,,17.9090927
11/29/2012,31.8,209,39.5,391,10.95,183,9.3,32.75,,18.0000018
11/30/2012,32,220,39.5,395,11.2,187,9.4,32.75,,17.5454563
12/3/2012,32.5,220,40.25,399,11.3,187.5,9.35,33,,18.18182
12/4/2012,32.7,219,40.25,399,11.2,187,9.1,33,,18.4545473
12/6/2012,32.8,216,40.5,400,11.45,194.5,8.9,33.25,,18.4545473
12/7/2012,32.6,213,41,397,11.5,198,9.025,33.25,,18.3636382
12/11/2012,32.8,214,42,404,11.4,196,9.125,33.25,,18.3636382
12/12/2012,33.1,217,42.5,418,11.45,194.5,9.475,34.25,,18.6363655
12/13/2012,32.9,213,42,426,11.2,196,9.375,34,,18.4545473
12/14/2012,33.1,210,43.75,420,11.2,196,9.3,34.25,,18.4545473
12/17/2012,33.1,206,45.25,410,11.1,194,9.3,34.75,,18.2727291
12/18/2012,33.1,210,46.25,410,11.3,192,9.3,35,,18.0909109
12/19/2012,33.3,211,47,424,11.4,193.5,9.2,35,,18.18182
12/20/2012,33.3,207,46.5,424,11.45,194,9.3,34.75,,18.0000018
12/21/2012,33.3,203,45.25,438,11.4,191,9.325,34,,17.7272745
12/24/2012,33.1,209,44.75,440,11.5,192,9.575,33.75,,18.0909109
12/25/2012,33.3,210,44.25,440,11.35,194,9.725,33.5,,17.8181836
12/26/2012,33.1,210,46,438,11.3,193,9.7,33.75,,17.9090927
12/27/2012,33.5,212,46.25,450,11.45,193.5,9.75,33.75,,18.0909109
12/28/2012,33.2,209,46,440,11.35,193.5,9.725,33.75,,17.8181836
1/2/2013,33.7,209,45.75,446,11.3,196,9.65,34.25,,18.0000018
1/3/2013,33.7,205,44.5,444,11.45,198,9.525,34.75,,18.6363655
1/4/2013,33.5,205,44.75,450,11.5,199,9.375,35,,18.5454564
1/7/2013,33.4,204,45.25,446,11.4,197,9.525,34.75,,18.9090928
1/8/2013,33,203,46,446,11.5,199,9.625,34,,19.090911
1/9/2013,33.1,201,45.75,440,11.45,199,9.625,33.75,,19.3636383
1/10/2013,32.7,197,45,440,11.3,197,9.625,33.25,,19.3636383
1/11/2013,32.6,201,45,434,11.25,194.5,9.55,33.5,,19.4545474
1/14/2013,33.3,197.5,45.25,432,11.2,194,9.675,33.75,,19.7272747
1/15/2013,33.5,197,45.25,428,11.25,192.5,9.8,34.25,,19.4545474
1/16/2013,33.6,195,44.75,428,11.3,192.5,9.7,33.5,,19.1818201
1/17/2013,33.6,198.5,45.75,426,12.45,192,9.65,34,,18.9090928
1/18/2013,33.6,206,46.25,434,12.1,194,9.725,34.5,,18.8181837
1/21/2013,33.6,204,47.5,440,12.2,194.5,10.05,34.5,,18.8181837
1/22/2013,33.5,205,47.75,442,12.2,193,9.9,33.75,,19.4545474
1/23/2013,33.6,205,48,448,12.85,192,10.65,33.75,,19.1818201
1/24/2013,33.4,207,48,440,12.9,192,11.15,34.25,,19.1818201
1/25/2013,33.3,206,49,446,12.9,196.5,10.8,34.25,,19.5454565
1/28/2013,33.1,205,48.25,462,13,197.5,10.6,35.75,,20.2727293
1/29/2013,33.5,212,48,458,13.1,198.5,11.05,36.25,,19.9090929
1/30/2013,34.8,214,47.25,452,13.3,197.5,10.95,36,,19.9090929
1/31/2013,34.1,210,46.75,444,13.3,198.5,10.55,35.5,,20.0909111
2/1/2013,35.4,208,47.5,446,13.35,205,10.6,36,,20.0909111
2/4/2013,36.2,203,48.5,442,13.15,209,10.45,36,,20.000002
2/5/2013,36.7,204,47.75,442,13.65,208,10.5,35.75,,20.0909111
2/6/2013,36.1,201,47,436,14.1,209,10.65,35.25,,20.6363657
2/7/2013,35.5,207,47,440,14.25,203,11.1,34.25,,20.5454566
2/8/2013,35,203,47,442,14.35,205,11.4,34,,21.3636385
2/11/2013,34.7,200,47.25,438,14.6,200,11.35,33.25,,21.4545476
2/12/2013,34.7,198,47.75,440,14.65,199,11.15,33,,21.7272749
2/13/2013,36.1,202,48.25,448,14.6,204,11.35,33,,22.0000022
2/14/2013,36.2,202,48.25,458,15.35,203,11.65,33.25,,22.1818204
2/15/2013,35.7,200,48.5,452,14.95,203,11.7,33.5,,22.727275
2/18/2013,35.2,200,49.25,456,15.05,203,11.75,33.5,,22.3636386
2/19/2013,35.8,205,49.5,460,14.95,208,11.4,33.25,,22.2727295
2/20/2013,35.6,206,52,464,14.7,215,11.6,33.5,,22.0909113
2/21/2013,34.8,203,49.75,464,14.4,212,11.5,33.25,,21.818184
2/22/2013,34.9,204,47.75,476,14.9,210,11.45,33.5,,22.95454775
2/26/2013,34.4,202,46.75,474,14.8,209,11.6,32.75,,22.727275
2/27/2013,34.1,200,46.75,460,14.55,206,11.55,33,,23.1818205
2/28/2013,35,207,47.25,464,14.9,212,11.8,32.5,,22.95454775
3/1/2013,34.5,207,47.75,464,14.7,217,11.6,32.5,,22.95454775
3/4/2013,34.4,211,47,456,14.8,219,11.7,32.5,,23.1818205
3/5/2013,34.6,211,47.75,460,15,215,11.75,32.5,,23.1818205
3/6/2013,34,213,47.5,474,15.2,217,11.8,32.5,,23.1818205
3/7/2013,33.9,217,47.5,470,15.25,212,12.1,32,,22.95454775
3/8/2013,33.5,217,47.25,488,15.6,215,12.25,32,,23.636366
3/11/2013,34.3,224,46.5,494,15.45,216,12.3,33.25,,23.1818205
3/12/2013,34.3,234,45.5,490,15.75,215,12.5,33.5,,22.95454775
3/13/2013,34.2,237,46.75,480,16.4,212,12.2,34.25,,23.1818205
3/14/2013,33.7,231,46,488,17.1,216,12.4,33.75,,23.636366
3/15/2013,34,230,45.75,500,16.7,216,12.15,34.5,,23.40909325
3/18/2013,33.9,228,45.5,498,16.55,219,12.15,35,,22.4545477
3/19/2013,33.8,228,44.75,492,16.5,215,12.05,33.75,,21.6363658
3/20/2013,33.3,229,45.75,482,16.15,206,12.3,33.25,,21.818184
3/21/2013,33.6,233,46,478,16.25,203,11.9,32.75,,21.5454567
3/22/2013,32,223,45,462,15.65,202,11.5,32,,21.1818203
3/25/2013,32.7,234,45,472,16,207,11.75,32.75,,22.0000022
3/26/2013,32.6,245,45,470,16.35,214,12,33.25,,22.5454568
3/27/2013,32.7,242,45,496,16.4,215,12.2,33.25,,22.2727295
3/28/2013,32.4,236,45.75,480,16.35,208,12.25,33,,21.818184
3/29/2013,32.6,240,46.25,490,16.45,208,12.15,32.75,,22.0909113
4/1/2013,32.1,235,46,486,16.15,204,12.05,33,,21.9090931
4/2/2013,32.5,239,46.75,480,16.3,206,12.3,33,,21.6363658
4/3/2013,32.2,230,46.25,466,16.15,203,12.15,33,,20.4545475
4/4/2013,32,235,46.25,464,16.3,205,12.2,33,,21.0000021
4/5/2013,31.5,226,45,454,15.8,200,11.6,32,,20.1818202
4/9/2013,31.1,228,45,450,15.4,197,11.25,31.25,,19.2727292
4/10/2013,31.4,237,45.75,450,16,193.5,11.2,29.5,,20.7272748
4/11/2013,31.7,243,46,462,16.05,203,12,30,,20.2727293
4/12/2013,31.5,257,46,462,16.4,198,12.35,30.25,,20.6363657
4/17/2013,30.9,259,45.5,454,16.1,196.5,13,30.75,,21.3636385
4/18/2013,31.4,269,45.5,452,16,194.5,13.65,30.75,,21.0000021
4/19/2013,31.8,261,46.25,462,15.85,199.5,13.15,31,,21.3636385
4/22/2013,31.2,258,43.5,486,16.3,208,13.7,30,,21.818184
4/23/2013,31.2,259,,482,16.4,208,13.3,28.5,,21.7272749
4/24/2013,31.4,262,39,486,16.75,210,13.45,28.75,,22.0000022
4/25/2013,31.7,270,41,490,16.95,208,13.35,30,,22.4545477
4/26/2013,31.9,268,43.75,482,16.85,212,13.8,31.25,,22.4545477
4/29/2013,31.7,263,43.75,480,16.85,209,14.4,31.5,,22.1818204
4/30/2013,32.6,270,44,478,16.9,212,14.45,31.75,,22.3636386
5/2/2013,32.7,267,41.5,486,16.7,211,14.8,30.75,,22.5454568
5/3/2013,32.6,266,41.5,478,16.55,207,15.15,30.5,,22.3636386
5/7/2013,33,270,42,490,17.15,212,15.2,31.25,,22.3636386
5/8/2013,33.4,280,41.5,488,17.15,216,15.2,31.25,,21.9090931
5/9/2013,33.8,289,41.5,486,17.15,216,14.75,30.75,,21.7272749
5/10/2013,34,287,41,486,17.2,219,14.8,30.75,,22.0000022
5/13/2013,33.5,281,42,486,17.5,214,15.15,30.25,,21.9090931
5/14/2013,33.4,277,43,486,17.5,218,15.2,30.25,,22.4545477
5/15/2013,33.9,285,43,488,17.35,218,15.5,30.75,,22.4545477
5/16/2013,33.7,285,43,478,17.25,216,16.05,31,,23.636366
5/17/2013,33.5,299,43,466,17.45,215,16.05,30.75,,25.454548
5/20/2013,34.3,296,43.5,472,17.45,219,16.7,31.25,,24.545457
5/21/2013,34.5,293,44,480,17.3,221,17.35,31,,24.545457
5/22/2013,34.7,289,43.5,474,17.1,220,17,30.75,,24.545457
5/23/2013,34.5,283,43.25,468,16.9,214,16.75,30,,25.0000025
5/27/2013,34.4,279,43.5,470,16.7,207,16.75,29.5,,24.545457
5/28/2013,34.9,291,43.75,474,17.05,206,17.8,30.25,,25.22727525
5/29/2013,34.3,281,43.75,466,16.9,204,18.5,30.25,,24.77272975
5/30/2013,33.7,276,43.25,464,16.7,197.5,18.1,29.75,,25.22727525
5/31/2013,32.6,263,43,464,16.9,195,18.5,29,,24.545457
6/3/2013,32.2,265,42,458,16.7,196.5,16.6,28.5,,22.95454775
6/4/2013,33,275,41.75,456,17.1,201,16.15,28.75,,23.40909325
6/5/2013,32.2,262,41.5,444,16.75,193.5,15.9,28,,22.727275
6/6/2013,32.6,263,40.75,440,16.5,195,15.5,27.25,,21.1818203
6/7/2013,33.5,268,41.25,458,16,195,16.35,28,,21.9090931
6/10/2013,33.8,267,41.75,452,16.1,193.5,16.85,28.5,,22.727275
6/11/2013,32.5,251,40.25,430,15.05,181.5,15.85,26.5,,21.4545476
6/12/2013,31.8,240,41,426,14.7,175,15.8,27.5,,21.9090931
6/13/2013,31.2,244,40.5,428,14.5,178,14.8,27,,20.6363657
6/14/2013,32.2,255,40.25,444,15.1,195,15.3,27,,22.4545477
6/17/2013,32.9,257,40.5,440,15.35,194,15.1,26.5,,22.727275
6/18/2013,32.1,252,38.5,422,15.2,187.5,15.35,25.75,,22.2727295
6/19/2013,33.2,264,37.5,420,14.95,190,15.55,25.25,,22.727275
6/20/2013,33.4,257,34.5,420,14.4,180,15.5,24.1,,21.6363658
6/21/2013,33.8,260,36.25,428,13.8,176.5,14.9,23.7,,21.7272749
6/24/2013,32.6,259,36.25,424,13,170.5,13.7,21.8,,21.1818203
6/25/2013,33,263,37.25,430,13.9,176,13.95,23.3,,21.1818203
6/26/2013,33.6,276,39,438,14.3,180,15.4,23.9,,22.5454568
6/27/2013,34.1,281,38.75,444,14.9,186,15.7,25.75,,22.5454568
6/28/2013,33.5,282,39,446,15.75,191,16.85,25.75,,22.5454568
7/2/2013,33.7,290,38.75,452,15.5,189.5,16.5,26.5,,22.1818204
7/3/2013,33.9,290,38,440,15.5,185.5,16.8,26.25,,21.1818203
7/4/2013,34.2,286,37.25,422,15.75,179.5,16.65,25.75,,21.3636385
7/5/2013,34.8,283,36.75,424,15.65,181.5,16.8,25.75,,21.5454567
7/8/2013,34.4,271,35.75,420,14.9,175,16.1,26.75,,20.4545475
7/9/2013,34.6,273,35.75,428,14.3,173,15.7,28,,19.3636383
7/10/2013,34.3,278,35.25,438,14.5,175,15.8,27.75,,18.3636382
7/11/2013,35.1,286,37.25,452,15.3,188,17,28.5,,19.9090929
7/12/2013,34.6,286,37.5,448,15.3,188,17.05,27.75,,20.7272748
7/15/2013,34,290,37.5,448,15,185,17.3,28.25,,21.0000021
7/16/2013,33.9,289,37.75,444,15.4,184.5,17.35,27.5,,21.0000021
7/17/2013,33.8,294,37.25,450,15.65,187.5,17.8,28,,21.818184
7/18/2013,34.2,295,38.5,462,16.25,190,18.8,28,,22.5454568
7/19/2013,34.1,299,37.5,454,16,185.5,19.45,27.5,,22.1818204
7/23/2013,34.6,310,38.25,452,16.5,188,19.2,28.75,,22.727275
7/24/2013,34.4,301,38.25,448,16.25,187.5,19.35,29.25,,22.95454775
7/25/2013,33.3,286,37.25,436,15.65,185,18.4,29.75,,21.6363658
7/26/2013,33.9,293,37.5,450,15.55,187.5,19,29.75,,21.818184
7/29/2013,33.6,287,37.25,440,14.85,183.5,18.85,28.75,,21.1818203
7/30/2013,32.8,279,36.5,444,14.5,183,18,28.25,,21.1818203
7/31/2013,33.1,285,35,458,14.65,182.5,17.8,28,,20.909093
8/1/2013,33.1,287,34,458,14.65,183.5,18.2,27.75,,20.6363657
8/2/2013,33.1,282,34,450,14.35,180.5,17.85,26.75,,20.0909111
8/5/2013,33.3,282,35.25,454,14.25,177,18.4,27,,21.0909112
8/6/2013,33.5,283,37,448,14.4,176,18.15,26.75,,21.2727294
8/7/2013,32.8,285,36.75,444,14.35,176.5,18.35,27,,22.3636386
8/8/2013,33,285,36,450,14.9,177.5,18.35,27,,22.3636386
8/9/2013,32.8,282,35.75,446,14.65,177,18.35,25,,22.2727295
8/13/2013,33.2,282,38.25,454,14.85,185,18.2,25.25,,22.727275
8/14/2013,32.9,283,39,454,14.6,188,18.2,26.25,,22.0000022
8/15/2013,32.9,284,38.75,448,14.5,185.5,18.3,26,,21.6363658
8/16/2013,32.4,274,38.25,458,14.2,185.5,17.85,25.5,,21.5454567
8/19/2013,31.6,264,36.25,438,13.65,176,17.3,24.8,,21.0000021
8/20/2013,31.9,259,35.75,426,13,171,17.1,24.1,,20.2727293
8/21/2013,31.1,255,36,426,12.75,165.5,16.95,23.5,,19.8181838
8/22/2013,32.2,247,35.25,434,13.3,162.5,16.8,25.25,,20.7272748
8/23/2013,32.1,241,34.5,414,12.75,162,16.6,24.4,,20.4545475
8/26/2013,31.8,244,35,410,12.65,163,16.45,24,,19.7272747
8/27/2013,32,240,34,395,12.45,163.5,15.5,23,,20.000002
8/28/2013,31.8,238,32.75,386,12,161,14.95,22,,19.090911
8/29/2013,32.7,244,34,392,12.6,160,15.7,22.9,,19.090911
8/30/2013,32.7,240,32.75,393,12.9,159,16.35,23.2,,19.4545474
9/2/2013,32.6,249,33.25,404,13.25,163,16.9,23.3,,19.7272747
9/3/2013,32.5,250,34.25,400,13,161.5,16.3,24.2,,20.2727293
9/4/2013,32.6,245,33.75,388,12.7,161,16.15,23.5,,19.7272747
9/5/2013,33.1,248,33.5,394,12.95,163,16.4,24.4,,19.9090929
9/6/2013,33.4,253,33.5,397,13.15,167,16.6,24.4,,20.000002
9/9/2013,34.2,274,34.5,422,13.4,175.5,17.8,24.8,,21.9090931
9/10/2013,33.9,274,36,436,13.3,180,18.4,24.5,,21.3636385
9/11/2013,34,274,35.75,448,13.5,181.5,18.4,24.4,,22.0909113
9/12/2013,33.3,260,34.5,442,13.6,180,18,24.2,,21.4545476
9/13/2013,33.5,261,34,432,13.7,180,18,24.1,,21.818184
9/16/2013,34,270,35,440,14.5,190,18.95,24.8,,22.6363659
9/17/2013,33.9,273,35.75,444,14.5,188.5,19.35,24.6,,23.40909325
9/18/2013,33.1,270,35.5,446,14.15,187.5,19.35,24.6,,22.95454775
9/19/2013,33.3,278,39.75,460,14.5,197,19.85,26.75,,23.86363875
9/20/2013,33.6,278,39.75,462,14.4,195,20,27.75,,22.6363659
9/23/2013,33.3,271,39,442,13.9,187.5,19.3,25.5,,21.818184
9/24/2013,32.7,261,37.75,438,13.25,184.5,18.1,24.9,,22.0000022
9/25/2013,33,267,37.75,448,13,186,18.6,25,,22.727275
9/26/2013,32.7,263,35.25,450,12.9,183.5,19.05,24.9,,22.95454775
9/27/2013,32.6,259,36,450,12.95,182,18.75,24.8,,22.5454568
9/30/2013,31.6,255,35.25,426,12.6,175,18.85,24,,22.0000022
10/1/2013,32,257,36.75,436,13.1,180,19.05,24.9,,22.95454775
10/2/2013,31.9,258,36.75,436,13.05,177,19,24.5,,23.1818205
10/3/2013,32,263,37,432,13.4,180,19.8,25.25,,23.636366
10/4/2013,31.9,263,37,432,13.5,177,19.7,25,,23.636366
10/7/2013,31.9,263,36.25,430,13.5,175,19.3,24.6,,23.636366
10/8/2013,32,267,37.75,436,13.8,177.5,19.75,24.9,,24.0909115
10/9/2013,32,261,38.25,432,14,178.5,19.55,24.9,,24.545457
10/10/2013,32,261,39.25,438,14.25,185,20,25,,25.22727525
10/11/2013,32.3,261,38.75,440,14.35,188,19.8,24.9,,25.0000025
10/14/2013,31.9,262,39,438,14.15,187,20.6,24.9,,25.22727525
10/15/2013,31.9,264,39.25,436,14.15,190,20.9,26,,26.13636625
10/16/2013,31.9,260,38.5,434,13.95,190,22,26,,25.68182075
10/17/2013,31.8,270,38.5,440,13.85,188,22.5,25.5,,25.9090935
10/18/2013,32,267,39,448,14.05,192.5,21.7,25.75,,25.68182075
10/21/2013,32,260,37.75,434,13.85,185.5,20.6,24.8,,24.0909115
10/22/2013,32.1,260,38.5,432,13.8,185,21.3,24.9,,24.77272975
10/24/2013,32.1,257,39.75,440,14,186.5,21.6,25.5,,24.545457
10/25/2013,32,256,39,438,13.85,186,21.4,25,,24.0909115
10/28/2013,31.7,256,38.75,432,13.6,186,21.2,24.9,,24.545457
10/29/2013,31.6,257,39,436,13.65,185.5,21.4,24.9,,24.77272975
10/30/2013,31.1,249,38.75,432,13.5,184,21.3,24.5,,24.545457
10/31/2013,31.7,255,39.25,428,13.4,190,21.2,24.3,,25.22727525
11/1/2013,31.5,250,38.75,436,13.25,185.5,20.6,24.4,,24.545457
11/4/2013,31.1,246,37.5,416,12.9,180,18.9,23,,23.40909325
11/5/2013,31.2,247,38,426,13.25,184.5,20,23.7,,24.0909115
11/6/2013,31.2,242,39.75,436,13.3,186,20.4,24.2,,25.454548
11/7/2013,31.1,236,41.5,432,13,186,20.4,24.2,,24.545457
11/8/2013,31,228,40.5,422,12.9,184.5,20.2,23.6,,23.636366
11/11/2013,31,234,40.25,424,12.95,185,20.5,24.2,,23.636366
11/12/2013,30.8,233,41,418,12.95,183.5,20.5,25.25,,23.40909325
11/13/2013,30.8,227,40.25,418,12.9,181.5,21,26,,23.40909325
11/14/2013,30.8,230,41.25,420,13,182.5,21,26.5,,23.1818205
11/15/2013,31,235,41.25,420,12.85,183,20.9,27,,22.95454775
11/18/2013,31.1,235,42,426,12.9,182,20.9,26.75,,23.636366
11/19/2013,30.8,228,42,422,12.9,180,20.9,27,,23.636366
11/20/2013,30.5,226,42.25,426,12.95,180.5,20.8,26.75,,23.1818205
11/21/2013,30.1,225,41.75,416,12.9,173,19.85,26.25,,22.6363659
11/22/2013,29.7,223,41,399,12.9,171,19.2,25.75,,21.818184
11/25/2013,29.3,220,41.25,396,12.85,172.5,19.25,26,,21.7272749
11/26/2013,29.1,225,42,398,12.85,171,18.7,27,,22.1818204
11/27/2013,29.5,230,41.5,398,12.9,171,19,26.25,,22.0909113
11/28/2013,29.2,226,40.75,393,13.05,168,18.9,27.5,,21.9090931
11/29/2013,29.5,228,40.75,394,13.15,169,18.75,28.5,,22.0909113
12/2/2013,30.2,227,40.75,396,12.95,166.5,18.3,28.25,,21.4545476
12/3/2013,30.7,226,41,400,13.1,168,18.6,28.25,,21.818184
12/4/2013,30.6,223,41.75,402,12.95,167.5,18.4,27.5,,21.818184
12/6/2013,30.3,220,41.5,404,12.95,166.5,17.85,27.5,,21.818184
12/9/2013,30.5,218,42,410,12.85,166,18.25,28,,22.1818204
12/11/2013,30.2,221,43.25,402,12.85,167,18.3,27.25,,22.0909113
12/12/2013,29.7,215,43.25,400,12.85,167,17.9,27.25,,21.9090931
12/13/2013,29.3,209,43,391,12.55,167,17.5,27.75,,21.9090931
12/16/2013,28.7,204,43,395,12.4,168,17.05,28.25,,20.7272748
12/17/2013,28.6,205,44,395,12.4,168.5,17.85,29.5,,20.7272748
12/18/2013,28.9,217,43.75,400,12.55,171.5,18.25,29,,21.2727294
12/19/2013,29,212,43.75,396,12.4,171.5,17.8,30.5,,21.1818203
12/20/2013,29.1,211,44.25,397,12.45,169,17.25,30,,21.7272749
12/23/2013,28.6,206,44.75,399,12.4,164.5,16.55,30,,20.3636384
12/24/2013,28.8,208,44.5,400,12.4,165,16.5,30.25,,19.9090929
12/25/2013,28.9,210,44.25,408,12.4,166,16.55,31.25,,20.000002
12/26/2013,28.5,204,42.75,408,11.95,160,15.8,31,,19.4545474
12/27/2013,28.6,199.5,42,400,11.75,156,15.85,32,,18.8181837
1/2/2014,27.4,187,40,381,10.9,145.5,14.65,30.5,,17.272729
1/3/2014,26.8,196,40,380,10.85,151,14.5,30.5,,17.0000017
1/6/2014,26.4,201,40.25,385,11.9,157,14.25,29.25,,18.2727291
1/7/2014,28.1,210,41,389,11.75,162,15.15,30.5,,19.090911
1/8/2014,28.5,206,40.5,392,11.45,162,14.5,29.75,,18.4545473
1/9/2014,28.4,203,41,392,11.75,161.5,14.6,29.5,,19.090911
1/10/2014,28.7,199.5,39.75,391,11.7,160,14.55,30,,19.0000019
1/13/2014,29.2,209,40.75,397,12.15,164,15.3,30,,20.000002
1/14/2014,29.4,212,39.75,406,12.15,164,15.95,30.75,,20.4545475
1/15/2014,28.6,205,39.25,406,12,160.5,16.6,29.5,,20.0909111
1/16/2014,28.8,215,39.75,408,12.15,166,16.6,29.5,,19.9090929
1/17/2014,28.8,214,39.5,404,12,168,16.1,29.25,,19.5454565
1/20/2014,28.9,210,40.25,402,12.1,165.5,15.8,30,,19.1818201
1/21/2014,28.6,211,40.5,400,12,169,16.3,29.5,,19.1818201
1/22/2014,28.2,211,39.75,402,12,170,16,29.75,,19.3636383
1/23/2014,28.9,215,40.5,410,12.05,175,16.75,30,,19.7272747
1/24/2014,29.1,215,40,416,11.9,175.5,17.55,30,,19.9090929
1/27/2014,28.3,210,40,402,11.85,171.5,17.5,29.25,,19.1818201
1/28/2014,27.8,206,39.75,400,11.6,169.5,16.9,28.5,,18.9090928
1/29/2014,27.4,208,39.5,402,11.7,170,17.3,28,,19.1818201
1/30/2014,27,205,39,402,11.7,171,17.4,27.75,,19.0000019
1/31/2014,27.6,209,39.25,406,11.8,170,17.15,28.5,,18.9090928
2/3/2014,27.8,215,39.5,408,11.85,170.5,17.65,29,,19.7272747
2/4/2014,27.3,211,39,406,11.8,166,17.5,28.25,,19.5454565
2/5/2014,27.1,211,39,404,11.9,169,17.35,28.25,,19.9090929
